& 100MVA Base                                                             
&===*====1====*====2====*====3====*====4====*====5====*====6====*====7====*====8
& TRANSMISSION LINE DATA
& BRANCH # FROM NODE   TO NODE CCT    R         X         Y/2
T  9001002       001       002  1  0.0124999 0.1048710 0.0125700
T  9001003       001       003  1  0.0053091 0.0445257 0.0053350
T  9002012       002       012  1  0.0093468 0.0785549 0.0094150
T  9003005       003       005  1  0.0135103 0.1133570 0.0135900
T  9003012       003       012  1  0.0199918 0.1678430 0.0201400
T  9004005       004       005  1  0.0019429 0.0163306 0.0019550
T  9004011       004       011  1  0.0100820 0.0845940 0.0101400
T  9005006       005       006  1  0.0067604 0.0567000 0.0067950
T  9005011       005       011  1  0.0100819 0.0845936 0.0101400
T  9006007       006       007  1  0.0026044 0.0218406 0.0026150
T  9007012       007       012  1  0.0094518 0.0791325 0.0094850
T  9008009       008       009  1  0.0045537 0.0527452 0.2867250
T  9008030       008       030  1  0.0055232 0.0640989 0.3497200
T  9009010       009       010  1  0.0055703 0.0646167 0.3525900
T  9011012       011       012  1  0.0042008 0.0350767 0.0042000
T  9011013       011       013  1  0.0111321 0.0934677 0.0112050
T  9012014       012       014  1  0.0105020 0.0881117 0.0105600
T  9012016       012       016  1  0.0293006 0.2464290 0.0296250
T  9012117       012       117  1  0.0007351 0.0060912 0.0007300
T  9013015       013       015  1  0.0304455 0.2560000 0.0307900
T  9014015       014       015  1  0.0263600 0.2215920 0.0266250
T  9015017       015       017  1  0.0087167 0.0729364 0.0087400
T  9015019       015       019  1  0.0110849 0.0929427 0.0111400
T  9015033       015       033  1  0.0155582 0.1305610 0.0156550
T  9016017       016       017  1  0.0055136 0.0462613 0.0055450
T  9017018       017       018  1  0.0063222 0.0530193 0.0063550
T  9017031       017       031  1  0.0195285 0.1639620 0.0196750
T  9017113       017       113  1  0.0170132 0.1428800 0.0171400
T  9018019       018       019  1  0.0104495 0.0876391 0.0105050
T  9019020       019       020  1  0.0146336 0.1227930 0.0147250
T  9019034       019       034  1  0.0184835 0.1551140 0.0186050
T  9020021       020       021  1  0.0106259 0.0891362 0.0106850
T  9021022       021       022  1  0.0121377 0.1018300 0.0122050
